NAME,POS,PARTY,DIST,TERM
"Nielson, Howard C.",Senator,Republican,16,1997-2001
"Nielson, Jim",Representative,Republican,19,2011-2014
"Nightingale, Harry",Representative,,8,1931
"Nix, Pat",Representative,Republican,60,1987-1990
"Nix, William J.",Representative,,27,1923
"Noble, George S.",Representative,Democrat,2,1941-1943
"Noel, Michael E.",Representative,Republican,73,2003-2018
"Norris, Hyrum J.",Representative,,3,1921
"Nye, George L.",Representative,,8,1896
"Oberhansley, Milly",Representative,Democrat,24,1967-1972
"O'Brien, William H.",Representative,,4,1897
"Ockey, Ronald J.",Representative,Republican,33,1989-1990
"Ockey, Ronald J.",Senator,Republican,7,1991-1994
"Oda, Curtis",Representative,Republican,14,2005-2016
"O'Donnell, Thomas W.",Senator,,5,1925-1927
"Okerlund, George W.",Representative,,22,1929-1931
"Okerlund, Ralph",Senator,Republican,24,2009-2019
"Oldham, Samuel",Representative,,2,1913-1915
"Olsen, Charles F.",Representative,,29,1921
"Olsen, Evan L.",Representative,Republican,"60, 5",1979-2001
"Olsen, Joseph H.",Representative,Democrat,2,1935-1937
"Olson, Culbert L.",Senator,,6,1917-1919
"Olson, E. K.",Representative,Democrat,15,1945-1949
"Olson, Kenneth C.",Representative,Democrat,8,1965
"Olson, L. M.",Senator,,9,1911-1913
"Omer, A. Gideon",Representative,Democrat,8,1945
"O'Neil, William",Representative,,"12, 28","1899, 1915, 1919"
"Openshaw, Frank M.",Representative,Republican,8,1949-1951
"Openshaw, Frank M.",Senator,Republican,6,1953-1955
"Openshaw, Jonathan E.",Representative,,8,1923-1925
"Openshaw, W. L.",Representative,,11,1913
"Orser, Lynn",Senator,Democrat,5,1949-1951
"Orton, Bryce B.",Representative,Republican,36,1973-1974
"Oscarson, Kurt E.",Representative,Democrat,"42, 48",1987-1996
"Osmond, Aaron",Senator,Republican,10,2012-2015
"Ostler, David S.",Representative,Republican,37,1987-1992
"Overson, Brent C.",Senator,Republican,6,1983-1986
"Oveson, L. P.",Representative,,16,1897
"Owens, Derrin R.",Representative,Republican,58,2016-2019
"Owens, William T.",Senator,,10,1929-1931
"Pace, A. Eugene",Representative,Republican,9,1961
"Pace, J. W.",Representative,Democrat,19,1939-1941
"Pace, John E.",Representative,,17,1905
"Pace, John G.",Representative,,24,1927
"Pace, Kenneth",Senator,Democrat,20,1977-1980
"Pace, Loraine T.",Representative,Republican,4,1998-2004
"Pace, Lorin N.",Representative,Republican,"8, 17, 18, 34",1965-1986
"Pace, Lorin N.",Senator,Republican,9,1987-1990
"Pack, Wehrli D.",Representative,Democrat,8,1937
"Packard, Milan O.",Representative,,11,1911
"Page, Samuel L.",Representative,Democrat,21,"1901, 1911-1913, 1937"
"Page, Thomas P.",Representative,,8,1915-1917
"Paine, Milton Dewey",Representative,,11,1931
"Painter, Patrick",Representative,Republican,67,2005-2012
"Palmer, Clarence L.",Representative,Democrat,8,1953-1957
"Palmer, E. Reed",Representative,Republican,29,1979-1982
"Pancake, Thomas C.",Representative,,4,1905
"Panter, William J.",Representative,,8,1905
"Park, Samuel C.",Senator,,6,1905-1907
"Parker, Brent D.",Representative,Republican,5,2001-2003
"Parker, Harry C.",Representative,,2,1921
"Parker, W. J.",Senator,,4,1917-1919
"Parkin, Charles E.",Representative,Republican,14,1977-1980
"Parmley, T. J.",Representative,,15,1909
"Parratt, D. W.",Senator,Democrat,6,"1929, 1935-1937"
"Parratt, J. Easton",Representative,Democrat,20,1973-1978
"Parrish, Joel R.",Representative,,6,1925
"Parry, J. Waldo",Representative,Democrat,8,1965
"Parry, John",Representative,,24,"1897-1899, 1907"
"Patterson, G. O.",Representative,Republican,17,1949-1953
"Patterson, Jen A.",Representative,Democrat,44,1979-1980
"Patterson, Knox",Senator,Democrat,12,1927-1933
"Paxman, Achsa E.",Representative,,11,1925-1927
"Paxman, Arthur",Representative,,25,1917
"Paxton, Frank",Representative,Republican,19,1933
"Paxton, Mark",Representative,Republican,19,"1943, 1947"
"Paxton, Mark",Senator,Republican,8,1951-1953
"Peacock, E. L.",Representative,,16,1923
"Peacock, Jessie J.",Representative,Republican,64,1969
"Pectol, Ephraim P.",Representative,Democrat,22,1935-1939
"Pectol, W. J.",Representative,Republican,22,1933
"Pedersen, H. A.",Representative,,2,1907
"Pedersen, John M.",Representative,Democrat,4,1943-1945
"Pembroke, Adrian B.",Representative,,8,1923
"Penrose, Frank W.",Representative,Democrat,8,1943
"Perkins, John N.",Representative,,4,1897
"Perry, David H.",Senator,,6,1899
"Perry, Lee B.",Representative,Republican,"2, 29",2011-2019
"Perry, Robert F.",Representative,Democrat,8,1941
"Peters, John W.",Senator,,1,1921-1927
"Petersen, Charles C.",Representative,,2,1931
"Petersen, Grant L.",Representative,Democrat,45,1977-1978
"Petersen, Homer U.",Representative,Democrat,62,1969-1972
"Petersen, James E.",Representative,,21,1905
"Peterson, C. E.",Senator,Republican,16,1985-1992
"Peterson, Cary G.",Representative,Republican,71,1973-1980
"Peterson, Cary G.",Senator,Republican,28,1981-1992
"Peterson, Charles E.",Representative,Republican,11,1951-1955
"Peterson, Craig A.",Representative,Republican,59,1987-1988
"Peterson, Craig A.",Senator,Republican,14,1989-1998
"Peterson, Darin G.",Representative,Republican,67,2001-2004
"Peterson, Darin G.",Senator,Republican,24,2005-2008
"Peterson, Douglas S.",Representative,Republican,11,1993-1997
"Peterson, Ferdinand E.",Representative,Republican,"8, 4, 2","1963-1970, 1973-1974"
"Peterson, Georgia B.",Representative,Republican,"20, 22",1970-1979
"Peterson, Henry",Representative,Democrat,2,1937
"Peterson, J. R.",Representative,Democrat,8,1935
"Peterson, Jeremy A.",Representative,Republican,9,2011-2018
"Peterson, Joseph L.",Representative,Democrat,4,1933
"Peterson, Lionel L.",Representative,Republican,14,1953-1963
"Peterson, Lorenzo",Representative,,14,1903
"Peterson, Lowell S.",Representative,Republican,50,1979-1980
"Peterson, Lowell S.",Senator,Republican,20,1981-1986
"Peterson, M. Blaine",Representative,Democrat,4,1955
"Peterson, M. Blaine",Senator,Democrat,18,1975-1978
"Peterson, Millie M.",Senator,Democrat,12,1991-2002
"Peterson, Noel W.",Representative,Republican,9,1957
"Peterson, P. F.",Representative,,18,1911
"Peterson, Paul M.",Representative,Democrat,9,1935
"Peterson, Peter C.",Representative,,14,"1921, 1931"
"Peterson, Sandra",Representative,Democrat,12,1971
"Peterson, T. W.",Representative,,2,1915
"Peterson, Val L.",Representative,Republican,59,2011-2019
"Peterson, Virgil H.",Representative,Democrat,11,1951
"Peterson, Wallace A.",Representative,Democrat,8,1957-1959
"Peterson, Wendall",Senator,Democrat,12,1937
"Pett, Victor G.",Representative,Democrat,13,1937-1939
"Pettersson, Carl E.",Representative,Democrat,8,1963-1965
"Pettersson, Carl E.",Senator,Democrat,"11, 12",1969-1978
"Pettit, J. E.",Representative,,15,1923-1925
"Petty, Charles B.",Representative,,25,1925-1927
"Phelps, William Robert",Representative,Republican,"44, 41, 67","1970, 1973-1974, 1981-1986"
"Phillips, John W.",Representative,,18,1901
"Philpot, J. Morgan",Representative,Republican,45,2001-2004
"Pierce, Isaac N.",Representative,,4,1919
"Piercey, Anna T.",Representative,,8,"1919, 1929"
"Pignanelli, Frank R.",Representative,Democrat,"23, 24",1987-1997
"Pingree, Frank",Representative,,9,1919
"Pitcher, Dixon M.",Representative,Republican,"8, 10","1985-1986, 2011-2018"
"Pitcher, Stephanie",Representative,Democrat,40,2019
"Plant, Ross H.",Representative,Republican,"2, 51",1963-1967
"Platt, James W.",Representative,Democrat,9,1969-1970
"Pond, H. Ray",Representative,Democrat,2,1939
"Pond, Joseph T.",Representative,,2,1901
"Pope, Charles W.",Representative,,3,1915
"Pope, H. C.",Representative,Democrat,8,1933
"Pope, Rock M.",Representative,,10,1909-1911
"Porter, Golden",Representative,Republican,5,1957-1959
"Porter, Joseph R.",Representative,,5,1909
"Porter, Richard L.",Representative,Republican,8,1949
"Postma, S. J.",Representative,Republican,2,1951-1953
"Potter, Val K.",Representative,Republican,3,2017-2019
"Poulsen, Alton B.",Representative,Democrat,8,1937
"Poulsen, N. C.",Representative,Republican,8,1953
"Poulson, M. Phyl",Representative,Democrat,8,"1949, 1963-1965"
"Poulson, Marie H.",Representative,Democrat,46,2009-2019
"Poulton, L. Steven",Senator,Republican,9,1995-2002
"Powell, Kraig",Representative,Republican,54,2009-2016
"Powell, Marion L.",Representative,Republican,35,1967-1970
"Prante, Franklin C.",Representative,Democrat,4,1987-1990
"Pratt, Irving L.",Representative,Democrat,11,1937
"Pratt, William F.",Representative,,19,1917
"Preece, Karl B.",Representative,Democrat,12,1949
"Preece, Ralph A.",Representative,Republican,61,1967
"Preece, Ralph A.",Senator,Republican,24,1969-1972
"Price, Dan Q.",Representative,Republican,"56, 55",1987-1994
"Price, Moroni",Representative,,2,1897
"Prior, Dean",Representative,Democrat,"11, 37","1965, 1971"
"Protzman, Grant D.",Representative,Democrat,7,1987-1997
"Pugh, Warren E.",Representative,Republican,8,1959
"Pugh, Warren E.",Senator,Republican,"7, 9",1967-1986
"Pulsipher, Susan",Representative,Republican,50,2017-2019
"Purser, Martha",Representative,,8,1929
"Pyne, Mrs. J. D.",Representative,Republican,11,1947
"Pyper, B. T.",Representative,Democrat,8,1945
"Quinn, Francis W.",Representative,,8,1919
"Quinn, Tim",Representative,Republican,54,2017-2019
"Quinney, S. J.",Representative,,8,1921
"Quinney, Joseph E.",Senator,,2,1921
"Raddatz, Emil J.",Representative,,7,1896
"Raleigh, J. T.",Representative,,8,1917
"Ramey, Charles M.",Representative,Democrat,8,1937
"Rampton, Byron R.",Senator,Republican,15,1965
"Randall, Harvey P.",Representative,,4,1907-1909
"Rasband, Frederick",Senator,,5,1905-1907
"Rasmussen, Lawrence L.",Representative,Democrat,9,"1943-1945, 1965"
"Ravsten, Ben J.",Representative,Democrat,2,1959
"Rawlings, Ben E.",Representative,Republican,8,1959-1961
"Rawson, Roger F.",Representative,Democrat,49,1973-1982
"Ray, Paul",Representative,Republican,13,"2001-2002, 2005-2019"
"Ray, William A.",Representative,,19,1897
"Read, Edyth Ellerbeck",Representative,,8,1913
"Reber, Clark L.",Representative,Republican,"42, 50","1983-1986, 1993-1994"
"Rector, J. Kirk",Representative,Republican,"19, 35",1981-1984
"Redd, Charles",Representative,,27,1925-1929
"Redd, Charles Hardy",Representative,Republican,"73, 74",1979-1984
"Redd, Edward H.",Representative,Republican,4,2013-2018
"Redd, John Packard",Representative,Republican,"45, 57, 20","1967-1974, 1987-1988"
"Redd, L. Frank",Representative,Democrat,27,1953
"Redd, Leland W.",Representative,Republican,27,"1937-1941, 1961-1963"
"Redd, Lemuel H.",Representative,,27,1899-1901
"Redd, Wayne H.",Representative,,27,"1903, 1915"
"Reed, J. W.",Representative,Democrat,8,1943
"Rees, G. Stanford",Senator,Republican,"9, 26, 28","1963-1970, 1973-1976"
"Rees, Joseph E.",Representative,Republican,5,"1939-1945, 1949"
"Rees, Stephen J.",Representative,Republican,"28, 47",1981-1986
"Rees, Stephen J.",Senator,Republican,6,1987-1997
"Rees, Thomas M.",Representative,Democrat,8,"1939-1951, 1957-1961"
"Reese, D. Leon",Representative,Democrat,"28, 32, 52",1967-1984
"Reese, J. Harold",Senator,Democrat,1,1949-1951
"Regis, Larry",Representative,Democrat,56,1967-1970
"Reid, George W.",Representative,Democrat,8,1939-1941
"Reid, Stuart C.",Senator,Republican,18,2011-2014
"Rencher, Ronald L.",Representative,Democrat,"32, 45",1971-1976
"Renstrom, Darrell G.",Senator,Democrat,19,"1973-1980, 1985-1988"
"Reynolds, H. T.",Representative,,11,1913
"Reynolds, H. T.",Senator,,7,1915-1917
"Rhees, R. T.",Representative,,4,1921
"Rich, Abel S.",Senator,Democrat,1,1941-1943
"Rich, S. Grover",Representative,Democrat,8,1933
"Richards, Brent C.",Senator,Republican,5,1993-1997
"Richards, Charles C.",Representative,,8,1919
"Richards, Edward F.",Representative,Democrat,8,1935
"Richards, Ezra F.",Representative,,6,1905
"Richards, George F.",Representative,,7,1899
"Richards, George LaMont",Representative,Republican,"7, 27",1975-1988
"Richards, Horace L.",Representative,,1,1929-1931
"Richards, Lynn S.",Senator,Democrat,6,1943
"Richards, Morgan",Representative,,24,1903
"Richards, Preston D.",Representative,,8,1907
"Richards, Theo H.",Representative,Republican,1,1957
"Richards, Winn L.",Senator,Democrat,18,1987-1994
"Richardson, Holly J.",Representative,Republican,57,2011
"Richardson, Myron B.",Representative,,4,1911
"Rideout, David O.",Senator,,6,"1897-1899, 1913-1915"
"Riebe, Kathleen",Senator,Democrat,8,2019
"Riesen, Phil",Representative,Democrat,36,2007-2010
"Riley, Lloyd",Senator,Republican,15,1939
"Roberts, David R.",Representative,,2,1903-1905
"Roberts, Henry C.",Representative,Democrat,11,"1943-1945, 1949"
"Roberts, John",Representative,,12,1927
"Roberts, Marc K.",Representative,Republican,67,2013-2019
"Robertson, Adam",Representative,Republican,63,2018-2019
"Robertson, Jasper",Representative,,16,1899
"Robinson, Amos B.",Representative,Democrat,3,1943-1947
"Robinson, D. H.",Senator,,10,1925-1927
"Robinson, D. H.",Representative,,21,1929
"Robinson, Edward W.",Representative,,2,1909-1911
"Robinson, George H.",Representative,,3,"1913, 1925"
"Robinson, Harry J.",Representative,,8,1907
"Robinson, Joseph E.",Representative,,26,1896-1899
"Robison, Joseph V.",Senator,,8,1897-1899
"Robison, Willis E.",Representative,,22,1903
"Escamilla (Robles), Luz",Senator,Democrat,1,2009-2014
"Robson, Ralph E.",Representative,Republican,4,1947
"Rockwood, Clarence L.",Representative,Republican,8,1961-1963
"Rogers, Paul",Representative,Republican,34,1979-1982
"Rogers, Paul",Senator,Republican,14,1983-1988
"Romero, Angela",Representative,Democrat,26,2013-2019
"Romero, Ross I.",Representative,Democrat,25,2005-2006
"Romero, Ross I.",Senator,Democrat,7,2007-2012
"Romney, Charles W.",Representative,Democrat,8,"1951, 1955"
"Romney, George",Representative,,8,1897
"Romney, L. C.",Senator,Democrat,6,1943
"Romney, Marion G.",Representative,Democrat,8,1935
"Rose, Janet",Representative,Democrat,32,1987-1992
"Rowan, C. E.",Representative,,23,1923-1925
"Rowan, Tammy J.",Representative,Republican,59,1997-2001
"Rowberry, John W.",Representative,Democrat,7,1949-1959
"Rowe, John B.",Representative,Republican,24,1979-1980
"Roylance, William M.",Representative,,11,1897-1899
"Royle, Eldred M.",Representative,Democrat,11,1933
"Royle, Eldred M.",Senator,Democrat,7,1935-1937
"Rush, Hugh D.",Representative,Republican,51,1987-1990
"Rushton, Allan C.",Representative,Democrat,"50, 32",1987-1994
"Russell, Claude Y.",Representative,,8,1909-1911
"Russell, George B.",Representative,Democrat,"4, 31",1963-1967
"Russell, Walker Lee",Representative,Democrat,29,1951-1955
"Rust, David D.",Representative,,26,1917
"Ryan, G. Frank",Senator,,3,1923-1925
"Ryan, George H.",Representative,,13,1927
"Ryan, George H.",Senator,,8,1929-1931
"Ryberg, Eric W.",Representative,,8,1931
"Sabin, E. Clyde",Representative,Democrat,15,1943
"Sagers, Douglas V.",Representative,Republican,21,2011-2019
"Sagers, Victor G.",Representative,Democrat,8,1951
"Sandall, Scott D.",Representative,Republican,1,2015-2018
"Sandall, Scott D.",Senator,Republican,17,2019
"Sandberg, Wayne L.",Senator,Republican,4,1979-1986
"Sander, Isabrand",Representative,,12,1921
"Sanders, Carl W.",Representative,Democrat,2,1939
"Sanders, Owen",Representative,Republican,25,1953
"Sanders, Raymond",Representative,Republican,33,1967
"Sanderson, S. S.",Representative,,14,1911
"Sandstrom, Stephen E.",Representative,Republican,58,2007-2012
"Sanford, Allen T.",Senator,,6,1919
"Sanpei, Dean",Representative,Republican,63,2011-2017
"Sargent, L. C.",Representative,,23,1927
"Satterfield, Erbey L.",Representative,Democrat,11,1988
"Saunders, Carl R.",Representative,Republican,"48, 11","1979-1982, 1997-2002"
"Savage, Leon H.",Representative,Republican,25,1967-1970
"Schaerrer, Neil D.",Representative,Republican,12,1969-1970
"Schaub, Karl C.",Representative,,2,1923-1925
"Schenk, John H.",Representative,Democrat,2,1941-1945
"Scherer, Edward",Representative,Democrat,15,1941
"Schmiett, Bennie",Representative,Democrat,28,1959
"Schmiett, Bennie",Senator,Democrat,5,1961
"Schmutz, Ray S.",Representative,Republican,75,1977-1988
"Schultz, Mike",Representative,Republican,12,2015-2019
"Scott, D. Brent",Representative,Republican,8,1965
"Scott, J. W. E.",Representative,,2,1925
"Searle, George H.",Representative,Democrat,8,1955
"Seegmiller, F. Jay",Representative,Democrat,49,2009-2010
"Seegmiller, Pratt",Representative,Republican,21,1963
"Seegmiller, Travis M.",Representative,Republican,62,2018-2019
"Seegmiller, William W.",Senator,,11,1915-1917
"Seegmiller, William W.",Representative,,26,1919-1923
"Seelig, Jennifer M.",Representative,Democrat,23,2006-2014
"Seely, John H.",Senator,,9,1907-1909
"Seely, William J.",Representative,,16,1911-1913
"Seitz, Jack A.",Representative,Republican,55,1995-2004
"Selleneit, P. Lloyd",Representative,Republican,"55, 18","1977-1982, 1985-1986"
"Selvin, Sol J.",Representative,Democrat,7,1935-1941
"Selvin, Sol J.",Senator,Democrat,13,"1945-1947, 1953-1957"
"Sevy, Heber M.",Representative,Republican,24,1951-1955
"Sevy, John L.",Representative,,21,1919-1921
"Sevy, R. W.",Senator,,10,1909-1911
"Sevy, Thomas",Representative,,23,"1896, 1915"
"Shafer, John H.",Representative,,17,1896
"Sharp, J. R.",Representative,,15,1901
"Sharp, Jesse B.",Representative,,8,1925
"Sheffield, Ralph A.",Representative,Republican,8,1951-1963
"Shelley, George F.",Representative,,11,"1923, 1927"
"Shephard, Richard B.",Representative,,8,1897-1899
"Shepherd, Karen",Senator,Democrat,1,1991-1992
"Shepherd, Paul H.",Representative,Democrat,42,1993-1994
"Sherman, Hoyt",Senator,,6,1901-1903
"Shields, Dan B.",Representative,,8,1915
"Shields, Dan B.",Senator,,6,1931-1933
"Shiozawa, Brian E.",Senator,Republican,8,2013-2017
"Shipp, Rex P.",Representative,Republican,72,2019
"Short, Raymond W.",Representative,Republican,"34, 37",1991-2001
"Shumway, Naomi M.",Representative,Republican,18,1983-1984
"Shurtliff, Haskell H.",Representative,,4,1925
"Shurtliff, LaWanna Lou",Representative,Democrat,10,"1999-2008, 2019"
"Shurtliff, Lewis W.",Senator,,4,1897-1899
"Siddoway, Richard M.",Representative,Republican,20,1997-2002
"Siddoway, William H.",Representative,,12,1923-1925
"Silliman, Kenneth N.",Representative,Republican,"64, 70",1970-1974
"Silver, James",Representative,Republican,8,1947
"Simons, Grant",Representative,,11,1905
"Skolfield, Jane W.",Representative,,8,1913
"Skousen, Ervin M.",Representative,Republican,"16, 31",1981-1988
"Slack, Robert A.",Representative,Republican,75,1989-1992
"Slaugh, George A.",Representative,Democrat,12,1935
"Sloan, Robert W.",Representative,,8,1897
"Smart, Julia",Representative,,8,1925-1927
"Smart, William H.",Senator,,5,1921-1923
"Smedley, Ann T.",Representative,Republican,18,1991-1992
"Smedley, Stanley M.",Representative,Republican,18,1987-1990
"Smith, Benner X.",Representative,,8,1901
"Smith, Benner X.",Senator,,6,1907-1913
"Smith, C. John",Representative,,26,1909-1913
"Smith, D. A.",Representative,Republican,26,1933
"Smith, David F.",Senator,,13,1929-1931
"Smith, Frances B.",Representative,Republican,29,1945
"Smith, George Y.",Representative,,2,1917
"Smith, Heber A.",Representative,,8,1903
"Smith, Herbert E.",Representative,Democrat,4,1939
"Smith, J. McKinnon",Representative,Republican,8,1961-1963
"Smith, John Y.",Senator,,7,1907-1909
"Smith, John E.",Representative,Democrat,"58, 63","1967-1972, 1975-1982"
"Smith, Karen B.",Representative,Republican,18,1993-1995
"Smith, Keith",Representative,Republican,29,1961
"Smith, LeRoy B.",Representative,Republican,19,1949
"Smith, S. Albert",Representative,Republican,20,1963
"Smith, Scott B.",Representative,Democrat,21,"1941, 1957"
"Smith, Sherman S.",Representative,,4,1899
"Smith, Stanford S.",Representative,Republican,2,1972
"Smith, Susan Alice",Representative,Republican,29,1943
"Smith, Thomas D. A.",Representative,Democrat,21,1961
"Smith, Willard R.",Representative,Republican,8,1939
"Smoot, Abraham O.",Representative,,11,1896
"Smoot, Abraham O.",Senator,,7,1897-1901
"Smoot, I. A.",Representative,Democrat,8,"1929, 1933"
"Snedaker, J. F.",Representative,,8,1896
"Snider, Casey",Representative,Republican,5,2019
"Snow, Edward H.",Senator,,11,1896-1897
"Snow, Glenn E.",Senator,Democrat,11,1937-1939
"Snow, Gordon E.",Representative,Republican,54,1999-2008
"Snow, Joseph S.",Representative,,25,1919
"Snow, Karl N.",Senator,Republican,16,1973-1984
"Snow, Marlon O.",Representative,Republican,58,1999-2001
"Snow, V. Lowry",Representative,Republican,74,2012-2019
"Soderberg, H. A.",Representative,,4,1921
"Sonntag, Douglas F.",Representative,Republican,57,1975-1978
"Sonntag, Robert R.",Representative,Republican,8,1959-1963
"Sorensen, Andrew P.",Representative,,"27, 17",1896-1897
"Sorenson, A.",Representative,Democrat,8,1943
"Sorenson, C. W.",Representative,,14,1899
"Sorenson, Isaac",Representative,Democrat,8,1939
"Sorenson, Neils C.",Representative,,14,1897
"Sorenson, O. G.",Representative,Democrat,14,1935-1937
"South, Edward R.",Representative,,3,1901
"Southwick, Edward",Representative,,11,"1913, 1917"
"Southwick, Edward",Senator,,7,1919-1921
"Sowards, Glade M.",Representative,Republican,"61, 68",1969-1978
"Sowards, Glade M.",Senator,Republican,26,1979-1986
"Sowards, Leland",Representative,Democrat,12,1959
"Sowards, Leland",Senator,Democrat,16,1961-1965
"Spence, Charles W.",Representative,Democrat,8,1935-1937
"Spence, Charles W.",Senator,Democrat,6,1941
 ,Representative,Democrat,8,"1953-1955, 1961"
"Spencer, George",Representative,,3,1905
"Spencer, John F.",Representative,,3,1911
"Spencer, Lester",Representative,,23,1929-1931
"Spencer, Terry R.",Senator,Republican,22,1999-2002
"Spendlove, Robert M.",Representative,Republican,49,2014-2019
"Sperry, George A.",Representative,Republican,13,1947
"Spiegel, C. L.",Representative,,8,1927
"Spry, William",Representative,,7,1903
"Squire, Loren D.",Representative,Democrat,25,1959-1963
"Squire, Loren D.",Senator,Democrat,18,1965
"Stacey, James N.",Senator,Republican,17,1961-1963
"Stack, James D.",Representative,,13,1911
"Stahle, Henry W.",Senator,,13,1925-1927
"Stanard, Jon E.",Representative,Republican,62,2013-2018
"Standish, Henry M.",Senator,,6,1921-1923
"Staples, G. A.",Representative,Republican,18,1939-1945
"Stark, William C.",Representative,,8,1923-1925
"Starr, Ennis R.",Representative,Democrat,"9, 10",1971-1980
"Steele, David H.",Senator,Republican,21,1987-2003
"Steen, Charles A.",Senator,Republican,12,1959-1961
"Steiner, Robert C.",Senator,Democrat,"3, 1",1991-1999
"Stenquist, Jeffrey D.",Representative,Republican,51,2019
"Stephens, Edison J.",Representative,Republican,"59, 66",1971-1977
"Stephens, Edison J.",Senator,Republican,26,1978
"Stephens, Martin R.",Representative,Republican,6,1989-2004
"Stephens, Nora B.",Representative,Republican,13,1993-2001
"Stephens, Ronald L.",Representative,Democrat,"42, 11","1979-1980, 1983-1987"
"Stephens, W. O.",Representative,,9,1921
"Stephenson, Howard A.",Senator,Republican,"4, 11",1993-2018
"Stevens, Albert",Representative,,22,1901
"Stevens, Daniel",Senator,Democrat,8,"1917-1919, 1935-1937"
"Stevens, Harold A.",Representative,Republican,10,"1943, 1947"
"Stevens, Thomas J.",Representative,,4,1896
"Stevenson, Jerry W.",Senator,Republican,21,2010-2019
"Stewart, Charles H.",Senator,Republican,16,1993-1997
"Stewart, Hyrum",Representative,,6,1897
"Stewart, John J.",Representative,,8,1903
"Stewart, Justin C.",Representative,Democrat,8,1949
"Stewart, L. K.",Representative,,11,1915
"Stewart, Mrs. Frank Page",Representative,,8,1929
"Stewart, Mrs. Frank Page",Senator,Democrat,6,1935-1937
"Stewart, Robert P.",Representative,Democrat,4,1963-1965
"Stewart, Samuel W.",Representative,,8,1899
"Stewart, William L.",Representative,,4,1905
"Stine, David L.",Representative,,4,1927-1929
"Stockseth, Joseph",Representative,Democrat,6,1965
"Stoddard, Andrew",Representative,Democrat,44,2019
"Stoker, David",Representative,,6,1903
"Stone, Charles A.",Representative,Democrat,4,1947
"Stone, J. O.",Representative,,11,1925-1927
"Stone, John Q.",Representative,,11,1903
"Stone, Verl D.",Representative,Republican,44,1967-1969
"Stookey, Alonzo J.",Representative,,7,1923
"Stookey, Stonewall J.",Representative,,8,1905
"Stookey, Stonewall J.",Senator,,6,1909-1911
"Storey, Boyd K.",Senator,Republican,19,1989-1992
"Stowell, Dennis E.",Senator,Republican,28,2007-2011
"Stratford, Dale E.",Representative,Republican,42,"1977-1978, 1981-1982"
"Stratford, Dale E.",Senator,Republican,18,1983-1986
"Stratton, Keven J.",Representative,Republican,48,2013-2019
"Stratton-Airey, Grace",Representative,,8,1917-1919
"Stringham, B. H.",Representative,Republican,12,1941-1943
"Stringham, B. H.",Senator,Republican,"5, 16",1953-1959
"Stringham, C. J.",Representative,Democrat,8,1937
"Stringham, George L.",Representative,,22,1905
"Stringham, Richard",Senator,,3,1917-1919
"Strong, Don R.",Representative,Republican,"40, 65","1973, 1977-1986, 1989-1990"
"Strong, Harry L.",Representative,Democrat,6,1939
"Strong, Mark A.",Representative,Republican,41,2019
"Stuart, Archibald",Representative,,8,1901
"Stuart, J. Earl",Representative,Democrat,3,"1957-1959, 1963"
"Styler, Michael R.",Representative,Republican,68,1993-2004
"Suazo, Alicia L.",Senator,Democrat,2,2002
"Suazo, Pete",Representative,Democrat,23,1993-1996
"Suazo, Pete",Senator,Democrat,2,1997-2001
"Sumsion, Fred F.",Representative,Republican,41,1967
"Sumsion, Kenneth W.",Representative,Republican,56,2007-2012
"Sutherland, George",Senator,,6,1896
"Sutton, William D.",Representative,,9,1907
"Swallow, John E.",Representative,Republican,51,1997-2002
"Swan, Karl G.",Senator,Democrat,"25, 13",1971-1990
"Swapp, William J.",Representative,Republican,26,1935
"Swenson, Alma",Representative,,"7, 8","1913, 1921"
"Swenson, Jack H.",Representative,Republican,11,1951
"Sykes, Robert B.",Representative,Republican,"4, 23","1979-1982, 1985-1986"
"Taft, Seth",Representative,,22,1907
"Tangren, O. A.",Representative,,19,1925-1927
"Tanner, Earl D.",Representative,Republican,43,2013-2016
"Tanner, Jordan",Representative,Republican,63,1991-2000
"Tanner, Mrs. H. S.",Representative,,8,"1927, 1931"
"Tanner, Nathan C.",Senator,Republican,18,1995-1999
"Tanner, Rollin R.",Senator,,11,1899-1901
"Tanner, Silas E.",Representative,,22,1919
"Tanner, Silas E.",Senator,Democrat,10,1937-1939
"Tanner, Vasco M.",Representative,Democrat,11,1963
"Tate, Ralph R.",Representative,Republican,34,1987-1988
"Taylor, Alvin V.",Representative,,8,1896
"Taylor, Carl H.",Representative,Democrat,4,1955-1961
"Taylor, Craig L.",Senator,Republican,22,1995-1999
"Taylor, G. Douglas",Representative,Republican,8,1953-1961
"Taylor, G. Douglas",Senator,Republican,6,1963-1965
"Taylor, Joseph E.",Representative,,8,1897
"Taylor, Lester",Representative,Republican,"17, 9","1899, 1951-1953"
"Taylor, Lucille G.",Representative,Democrat,41,1980
"Taylor, Milton B.",Representative,Democrat,4,1935-1937
"Taylor, Samuel E.",Representative,,11,1915
"Taylor, Samuel J.",Senator,Republican,"12, 24",1963-1967
"Taylor, Samuel S.",Representative,Democrat,"13, 15, 29",1971-1986
"Tebbs, Daniel A.",Representative,Republican,23,1963-1965
"Tebbs, H. C.",Senator,,10,1921-1923
"Teerlink, Nicholas J.",Representative,Republican,8,1957
"Tempest, Richard B.",Senator,Republican,4,1987-1990
"Thackeray, W. Mark",Representative,Democrat,5,1935-1937
"Thatcher, Daniel W.",Senator,Republican,12,2011-2019
